meanRT_comp,meanRT_incomp,acc_comp,acc_incomp,Age_group,Age_real,v,a,ter,max_ampl,tau,ster
1.12390909,1.08130435,0.93617021,0.95833333,6.00000000,6.30410959,0.18107843,0.07916224,0.71785185,0.03402216,0.00912266,0.07230085
0.84206667,0.99893617,0.95744681,1.00000000,6.00000000,6.31780822,0.25407159,0.07983263,0.61016241,0.02508809,0.94870408,0.07839427
0.78586364,0.85227907,0.93617021,0.93478261,6.00000000,6.34246575,0.24377979,0.05345660,0.60643957,0.01617247,0.90834280,0.02501995
0.97470213,1.04902222,1.00000000,0.95744681,6.00000000,6.38630137,0.17145323,0.10458947,0.41845224,0.01329632,0.96363665,0.01091609
0.78266667,0.82457447,0.93750000,0.97916667,6.00000000,6.59726027,0.22805414,0.06719904,0.53462278,0.00342527,0.40196076,0.05072993
0.79202174,0.86054167,0.95833333,1.00000000,6.00000000,6.66849315,0.21611149,0.08321946,0.46442129,0.00528168,0.10757737,0.05862764
1.39000000,1.23331111,1.00000000,0.97826087,6.00000000,6.54246575,0.15419116,0.13509180,0.42298982,0.01669638,0.16821086,0.02203557
0.76736957,0.89784783,0.97872340,0.97872340,6.00000000,7.02739726,0.24989449,0.07900199,0.52864119,0.02608377,0.89917561,0.05426985
0.77342553,0.84840000,1.00000000,0.95744681,6.00000000,7.08219178,0.22039721,0.08775995,0.41833382,0.01255001,0.37488395,0.04157673
1.20710638,1.31057447,1.00000000,1.00000000,6.00000000,7.14794521,0.18246071,0.15914114,0.37562972,0.01072577,0.20190928,0.01843350
0.94233333,1.00231111,0.97826087,0.93750000,6.00000000,6.60547945,0.27773865,0.05762563,0.77683296,0.02412865,0.94570064,0.04261508
1.51813953,1.52252174,0.91489362,0.95833333,6.00000000,6.38356164,0.10757645,0.12063371,0.51319698,0.01073564,0.22502955,0.05622412
0.90755319,1.11015556,1.00000000,0.97826087,6.00000000,7.07945205,0.18843583,0.10596647,0.45292677,0.01599850,0.95228828,0.00693109
1.08619149,1.12437778,0.97916667,0.95744681,6.00000000,6.58082192,0.16660542,0.10392188,0.52198122,0.01198949,0.29274808,0.03469483
0.82231250,0.92014894,1.00000000,0.97916667,6.00000000,6.87397260,0.21282327,0.10458703,0.37361503,0.01208269,0.96216354,0.00974694
0.75052174,0.89178261,0.97872340,0.97872340,7.00000000,7.83287671,0.28095783,0.07824717,0.56143569,0.02952012,0.09130215,0.04246928
0.87580851,1.07717021,1.00000000,1.00000000,7.00000000,7.57534247,0.27755846,0.12822598,0.48433270,0.03323697,0.97000739,0.08344008
0.62868889,0.68032609,0.95744681,0.95833333,7.00000000,7.57534247,0.35758192,0.04582685,0.53447436,0.01415563,0.03616952,0.03178387
0.68778261,0.73613043,0.97872340,0.97872340,7.00000000,7.42191781,0.28362356,0.06783114,0.47726862,0.01103915,0.66957097,0.02339994
0.94119149,0.95882979,1.00000000,1.00000000,7.00000000,7.88767123,0.24972831,0.13605408,0.39470000,0.01228279,0.29348165,0.01498395
0.79428889,0.79846341,1.00000000,0.87234043,7.00000000,7.34520548,0.31232907,0.07349706,0.60411825,0.06330199,0.01802616,0.03379459
0.74140909,0.92858140,0.95652174,0.95555556,7.00000000,7.29589041,0.16583062,0.09226206,0.27372134,0.00655516,0.93993935,0.09397206
0.88908333,0.89638298,1.00000000,0.97916667,7.00000000,7.92054795,0.21236900,0.10236357,0.42234715,0.00305615,0.69025582,0.06182001
0.90269767,0.91602326,0.91489362,0.93478261,7.00000000,7.47397260,0.16408452,0.08606972,0.47276260,0.06623859,0.01687741,0.00077330
0.57230233,0.60304878,0.91489362,0.85416667,7.00000000,7.34520548,0.22974813,0.04363167,0.44174046,0.00805623,0.12170207,0.02339462
0.73075556,0.80342222,0.93750000,0.95744681,7.00000000,7.76438356,0.25216245,0.06186024,0.55738388,0.02085840,0.07651247,0.03113180
0.74650000,0.76432609,0.97872340,0.97872340,7.00000000,7.73424658,0.27783968,0.06857586,0.52523586,0.01210458,0.08029619,0.02694514
0.75481250,0.79360000,1.00000000,0.95744681,7.00000000,7.34246575,0.34649401,0.08436494,0.55116795,0.06227846,0.02412126,0.04520114
0.86443750,0.89939535,1.00000000,0.93478261,7.00000000,7.87397260,0.23333701,0.07148272,0.58584130,0.01884428,0.82752493,0.02733448
0.54373333,0.60774419,0.97826087,0.91489362,7.00000000,7.84109589,0.29713908,0.05022597,0.41087409,0.02048076,0.43238839,0.02965454
0.84526667,1.02067442,0.93750000,0.91489362,7.00000000,8.03287671,0.17026697,0.07267187,0.56420304,0.01329851,0.30687020,0.00034138
0.92468889,0.97300000,0.95744681,0.95652174,7.00000000,8.03013699,0.16357493,0.09363361,0.42381075,0.00070773,0.67732078,0.05620567
0.70772340,0.69036364,0.97916667,0.93617021,7.00000000,7.76164384,0.25715648,0.05929019,0.47933753,0.00894720,0.05987555,0.01357738
0.91646667,1.17326667,0.97826087,0.95744681,7.00000000,8.19178082,0.15327707,0.11160903,0.35322018,0.02131084,0.81447995,0.00158923
0.86931111,0.82786957,0.95744681,0.97872340,7.00000000,7.98082192,0.22905772,0.07311757,0.53341053,0.00434161,0.00147466,0.05836952
0.87613333,1.08747727,0.95744681,0.95652174,7.00000000,7.23561644,0.17639608,0.08999730,0.52134621,0.02751087,0.96603067,0.04952424
0.95580000,1.03088889,0.95744681,0.95744681,7.00000000,7.38904110,0.17829740,0.08538800,0.54081642,0.00378181,0.81091455,0.00403161
0.60906818,0.68669767,0.95652174,0.93478261,7.00000000,8.00273973,0.28922035,0.05485161,0.48492201,0.02766515,0.02762255,0.02984024
1.15693023,1.06476190,0.89583333,0.89361702,7.00000000,7.61917808,0.12988573,0.09248367,0.53074288,0.08599865,0.01041445,0.06233733
0.56223256,0.56775000,0.91489362,0.88888889,7.00000000,7.47123288,0.26369754,0.03990501,0.43673353,0.00319521,0.12173995,0.02065386
0.73579070,0.84950000,0.93478261,0.95833333,7.00000000,7.83013699,0.18019321,0.07981080,0.38845049,0.00983250,0.42103130,0.06458884
0.79388889,0.85335417,0.95744681,1.00000000,7.00000000,7.81369863,0.24624880,0.08023025,0.50534991,0.00625724,0.98991305,0.04436304
0.92853191,0.96604255,1.00000000,0.97916667,7.00000000,7.61369863,0.24058231,0.09249806,0.56873162,0.00802343,0.67866453,0.08289504
0.67376596,0.67961364,1.00000000,0.93617021,7.00000000,7.75342466,0.29085915,0.05908910,0.48467505,0.01076277,0.64985997,0.03425541
0.59836170,0.61834043,0.97916667,1.00000000,8.00000000,8.94520548,0.39273926,0.05610009,0.46052092,0.00445234,0.01826322,0.03921366
0.99791489,0.94972340,1.00000000,0.97916667,8.00000000,8.97534247,0.19157245,0.11566840,0.38853932,0.00103456,0.41852146,0.00369805
0.64217391,0.68929268,0.97872340,0.87234043,8.00000000,9.22739726,0.24314262,0.05304341,0.46908254,0.02011778,0.67320419,0.02797884
0.80471739,0.83484444,0.97872340,0.95744681,8.00000000,8.49589041,0.25896196,0.06493224,0.58279021,0.01272655,0.04545037,0.02160713
0.90984783,0.85611364,0.97872340,0.93617021,8.00000000,8.58082192,0.19211241,0.07706698,0.51237625,0.03443420,0.02696190,0.00105023
0.63085106,0.59411111,1.00000000,0.97826087,8.00000000,9.06575342,0.33833036,0.06561492,0.41215991,0.00396452,0.05775812,0.02860093
0.74669565,0.75833333,0.97872340,0.93750000,8.00000000,9.17534247,0.21721416,0.06980248,0.45335964,0.00404264,0.16513839,0.05505318
0.88100000,0.87972093,0.97916667,0.91489362,8.00000000,8.35890411,0.22024834,0.08940327,0.53092095,0.07654526,0.01644789,0.08537085
0.71739130,0.96016279,0.97872340,0.91489362,8.00000000,8.88219178,0.18968426,0.08399797,0.43870237,0.03245231,0.63856035,0.06931583
0.62655556,0.59148936,0.95744681,1.00000000,8.00000000,8.62465753,0.35575585,0.05619436,0.44868492,0.02197488,0.00322626,0.03085267
0.86582609,0.85457778,0.97872340,0.97826087,8.00000000,8.64931507,0.22319899,0.08357137,0.47406061,0.00857619,0.11830889,0.05560823
0.67404255,0.70666667,1.00000000,0.95744681,8.00000000,8.63013699,0.30480117,0.06683379,0.47672517,0.01769010,0.09383769,0.02792426
0.54776087,0.61177273,0.95833333,0.91666667,8.00000000,8.59178082,0.27386153,0.05057893,0.42131122,0.01610729,0.04922198,0.02681057
0.62623913,0.73437500,1.00000000,0.88888889,8.00000000,9.10958904,0.27431855,0.06200245,0.45181546,0.05139898,0.96568476,0.04201459
0.65235714,0.65307500,0.91304348,0.86956522,8.00000000,8.66575342,0.21276144,0.05910448,0.43086992,0.05481702,0.00822896,0.04341437
0.68486957,0.71682609,1.00000000,0.97872340,8.00000000,8.38904110,0.46002533,0.06484750,0.56143309,0.03095657,0.03859718,0.02159795
0.52356098,0.55431707,0.89130435,0.87234043,8.00000000,8.41917808,0.23499630,0.04060611,0.39387496,0.00989806,0.55915783,0.03188763
0.66282979,0.69345652,1.00000000,0.97872340,8.00000000,8.80821918,0.42698179,0.05233721,0.54459794,0.01053488,0.12623162,0.01861548
0.59510870,0.63045652,0.97872340,0.97872340,8.00000000,8.71506849,0.37740899,0.04918325,0.48375464,0.01704188,0.85958839,0.02395257
0.82435556,0.90434146,0.95744681,0.87234043,8.00000000,8.60547945,0.15375333,0.07805939,0.42929477,0.02113792,0.97244253,0.04179616
0.58417073,0.61926829,0.87234043,0.85416667,8.00000000,8.80821918,0.29792086,0.03630154,0.49838231,0.02581946,0.00941323,0.01641535
0.68828889,0.75973913,1.00000000,0.97872340,8.00000000,8.30136986,0.43121441,0.05722892,0.59382746,0.03019964,0.55690659,0.04142577
0.69322222,0.76040426,0.97826087,0.97916667,8.00000000,8.82739726,0.25741816,0.07519975,0.43641056,0.01191825,0.30714429,0.03038758
0.64815217,0.77727907,0.97872340,0.93478261,8.00000000,8.67397260,0.25766091,0.06786366,0.46478608,0.02343097,0.12809019,0.02295829
0.83680000,0.86104444,0.95744681,0.95744681,8.00000000,8.32328767,0.20036441,0.07746329,0.49088430,0.00868945,0.20221830,0.04525604
0.61493333,0.64165957,0.93750000,1.00000000,8.00000000,8.67671233,0.26151407,0.06260539,0.39761531,0.00097651,0.85096908,0.00377054
0.70555556,0.70853488,1.00000000,0.93478261,8.00000000,8.27397260,0.24919332,0.07443683,0.42886986,0.03337292,0.04095348,0.02587152
0.95153333,0.95811364,0.95744681,0.97777778,8.00000000,9.20000000,0.16040934,0.10449753,0.34125929,0.03275146,0.05799566,0.01801324
0.62876744,0.66433333,0.93478261,0.86666667,8.00000000,8.96438356,0.33656739,0.04087947,0.55126965,0.02863774,0.01358037,0.02508921
0.54514286,0.51045455,0.87500000,0.93617021,8.00000000,8.69863014,0.30181129,0.03625034,0.42870599,0.02235727,0.00411833,0.01736466
0.69621277,0.68339130,1.00000000,0.97872340,8.00000000,8.36438356,0.40742660,0.05947904,0.54158749,0.00274484,0.20228516,0.03096403
0.98113636,0.96154348,0.95652174,0.97872340,8.00000000,8.45753425,0.20861561,0.07966407,0.60319880,0.04083833,0.02153439,0.00264402
0.59495652,0.69542553,0.97872340,0.97916667,9.00000000,9.93150685,0.29480697,0.06793126,0.42079165,0.02560599,0.95407041,0.03217779
0.84412766,0.99365116,1.00000000,0.91489362,9.00000000,9.88219178,0.16995309,0.09648098,0.37551809,0.02255876,0.20140481,0.05274402
0.57042553,0.59558696,0.97916667,0.97872340,9.00000000,10.12054795,0.50291793,0.03732523,0.49184840,0.00742815,0.03014132,0.02091658
0.88427660,0.82927273,1.00000000,0.93617021,9.00000000,9.50410959,0.26575814,0.11841244,0.42578968,0.11351222,0.01285339,0.08303730
0.62431915,0.70370213,1.00000000,0.97916667,9.00000000,10.15616438,0.26890965,0.07979900,0.37898984,0.01589226,0.16540715,0.00570935
0.58510417,0.59291667,1.00000000,1.00000000,9.00000000,9.97260274,0.43786371,0.08750929,0.38535048,0.00535430,0.47663897,0.03578091
0.70643478,0.74052174,0.95833333,0.97872340,9.00000000,9.69863014,0.22425117,0.07390590,0.42031235,0.00394834,0.75002568,0.04876451
0.81525000,0.81889583,1.00000000,1.00000000,9.00000000,9.27397260,0.28931624,0.10897283,0.43933016,0.00228895,0.90532781,0.00350617
0.66584783,0.70082609,0.95833333,0.97872340,9.00000000,9.43561644,0.25957740,0.06452727,0.45160367,0.00395243,0.13639828,0.00049875
0.84073913,0.87661702,0.97872340,1.00000000,9.00000000,9.93972603,0.21788151,0.09989988,0.42475938,0.03022652,0.06866092,0.00215412
0.62829167,0.75729787,1.00000000,0.97916667,9.00000000,9.91780822,0.27138048,0.08363430,0.38289260,0.02822620,0.97252270,0.03539811
0.62719149,0.72839130,1.00000000,0.97872340,9.00000000,9.78356164,0.50259227,0.07580700,0.53125407,0.04383444,0.05926166,0.04388310
0.59791304,0.64760000,0.97872340,0.95744681,9.00000000,9.89315068,0.29927032,0.06550085,0.41990888,0.03344280,0.02982655,0.02971741
0.66891489,0.71589362,1.00000000,0.97916667,9.00000000,9.26301370,0.46869556,0.08578033,0.52901307,0.06422050,0.02136315,0.04120794
0.60308511,0.64836364,1.00000000,0.93617021,9.00000000,9.85753425,0.28406644,0.06019690,0.43106321,0.01233817,0.09877812,0.01621206
0.62848936,0.67360870,1.00000000,0.95833333,9.00000000,9.41643836,0.36055150,0.05450404,0.50510389,0.01226195,0.32442770,0.02133938
0.60054348,0.62526667,0.95833333,0.93750000,9.00000000,9.50136986,0.38927425,0.03751042,0.52476916,0.00789684,0.03272370,0.01523006
0.84862222,0.86029787,0.95744681,1.00000000,9.00000000,9.97534247,0.27709988,0.06700377,0.61027248,0.00855557,0.00488060,0.03473452
0.54355556,0.65638298,0.93750000,0.97916667,9.00000000,9.85205479,0.29065903,0.05601545,0.42857976,0.01868818,0.08535324,0.02851847
0.79828261,0.93200000,0.97872340,1.00000000,9.00000000,10.14520548,0.30039808,0.07806799,0.61148148,0.02152371,0.40998641,0.02555185
0.56574468,0.61585714,1.00000000,0.89361702,9.00000000,10.03561644,0.28886398,0.05145396,0.41748570,0.01285248,0.10747878,0.03050780
0.70291667,0.77519149,1.00000000,1.00000000,9.00000000,10.04931507,0.47513971,0.08495962,0.55192451,0.02832658,0.67882298,0.04475402
0.65980000,0.65691111,0.97826087,0.93750000,9.00000000,9.30958904,0.27053374,0.05809349,0.44242804,0.01354556,0.94617104,0.05455773
0.50264444,0.54760870,0.95744681,0.95833333,9.00000000,10.04109589,0.32715522,0.04774811,0.38700471,0.00929277,0.07403361,0.02267465
0.56534043,0.58971111,1.00000000,0.95744681,9.00000000,10.01917808,0.35712105,0.05314552,0.43278031,0.02021779,0.94146843,0.01696656
0.74102222,0.81919565,0.95744681,0.97872340,9.00000000,9.33698630,0.20455681,0.08314743,0.39977350,0.01144608,0.13870293,0.05559363
0.65719149,0.68833333,0.97916667,1.00000000,9.00000000,9.72054795,0.46220789,0.05012645,0.56690173,0.01318800,0.02701776,0.01912111
0.51287234,0.55082979,0.97916667,0.97916667,9.00000000,9.46849315,0.42450927,0.04504752,0.42366953,0.02883906,0.82032974,0.02916164
0.45391111,0.50184444,0.95744681,0.95744681,9.00000000,9.24109589,0.34981431,0.04359706,0.36022934,0.00947416,0.06792202,0.01518140
0.59484444,0.63470833,0.95744681,1.00000000,9.00000000,9.33424658,0.36896916,0.04846721,0.48307916,0.01214739,0.95369539,0.02712633
0.55450000,0.57168750,0.95652174,1.00000000,9.00000000,9.69863014,0.33316697,0.05349974,0.41140232,0.00582733,0.03887305,0.02679143
0.60589130,0.62857447,0.97872340,1.00000000,9.00000000,9.91780822,0.44965989,0.05594848,0.49672131,0.02310536,0.02778898,0.03181970
0.50437500,0.58352174,1.00000000,0.97872340,10.00000000,10.27671233,0.38797921,0.06474515,0.36805171,0.02221476,0.48202973,0.06006919
0.49543478,0.54097872,0.97872340,0.97916667,10.00000000,10.79726027,0.40552472,0.04996843,0.40011906,0.01351906,0.08433348,0.02636878
0.70989583,0.77266667,1.00000000,0.93750000,10.00000000,10.60000000,0.23115103,0.07822388,0.41739116,0.01291970,0.24153706,0.02516493
0.55502174,0.56612766,0.97872340,1.00000000,10.00000000,10.72054795,0.38713670,0.05735502,0.41478462,0.00648110,0.04503261,0.02416038
0.70947917,0.84235417,1.00000000,1.00000000,10.00000000,11.09863014,0.33380118,0.09750397,0.46770584,0.03695322,0.96114460,0.04019162
0.66912500,0.75966667,1.00000000,0.95744681,10.00000000,10.83835616,0.28157917,0.07693844,0.45699113,0.03685077,0.04782139,0.01725258
0.72364583,0.87397826,1.00000000,0.97872340,10.00000000,10.39452055,0.26282726,0.08918637,0.44695807,0.02729092,0.76130423,0.04243231
0.73736957,0.76747727,0.97872340,0.93617021,10.00000000,11.11780822,0.19271951,0.08144613,0.35096786,0.03564869,0.04034182,0.00198806
0.73084091,0.80542222,0.95652174,0.95744681,10.00000000,10.44109589,0.19999298,0.07581953,0.40462758,0.03389471,0.02946223,0.00401126
0.70391304,0.82712766,0.97872340,1.00000000,10.00000000,10.78630137,0.24774886,0.08793026,0.42483767,0.01846444,0.46416469,0.04268013
0.48683333,0.52468085,1.00000000,0.97916667,10.00000000,11.21917808,0.41772640,0.05620554,0.36775202,0.03014464,0.92744780,0.03422196
0.45697826,0.50937209,0.97872340,0.89583333,10.00000000,10.29589041,0.32465502,0.04369579,0.35455415,0.02678130,0.61146306,0.03334118
0.42451064,0.45066667,0.97916667,0.87500000,10.00000000,11.18082192,0.32921692,0.03763472,0.33638112,0.00969102,0.11227192,0.01263097
0.78886957,0.82493617,0.97872340,1.00000000,10.00000000,11.11506849,0.28180523,0.08180794,0.52626232,0.03106854,0.03584462,0.00968735
