meanRT_comp,meanRT_incomp,acc_comp,acc_incomp,Age_group,Age_real,v,a,ter,max_ampl,tau,ster
472.42222222,466.93023256,0.97826087,0.91489362,13.00000000,13.81917808,0.45349920,0.04548022,0.37755186,0.03870690,0.00847400,0.54267813
501.25000000,554.23913043,1.00000000,0.95833333,13.00000000,13.75342466,0.46052922,0.04554871,0.42932201,0.01923788,0.22188728,0.39373134
460.19565217,526.27272727,0.95833333,0.91666667,13.00000000,13.85753425,0.33049096,0.04327715,0.36874670,0.01429476,0.14023732,0.81701254
526.30434783,558.76595745,0.97872340,1.00000000,13.00000000,13.98630137,0.53937734,0.04219397,0.46417798,0.00862724,0.06425250,0.26424399
519.06976744,571.06521739,0.91489362,0.95833333,13.00000000,14.19726027,0.31138540,0.04345440,0.42238268,0.01004027,0.04404026,0.61064635
452.25000000,529.11363636,1.00000000,0.93617021,13.00000000,13.89589041,0.73664625,0.10433531,0.38486403,0.10045286,0.01485825,0.46389991
538.14583333,672.21951220,1.00000000,0.87234043,13.00000000,13.43287671,0.32325644,0.07568776,0.41582045,0.05952710,0.03572020,0.55827614
590.93617021,685.97777778,1.00000000,0.95744681,13.00000000,13.53424658,0.28626674,0.07238045,0.40014744,0.01906432,0.18990367,0.62863286
674.69565217,700.86363636,0.97872340,0.93617021,13.00000000,14.21369863,0.28186738,0.05892744,0.50190873,0.01759267,0.06281881,0.39326019
506.40425532,555.00000000,1.00000000,0.91489362,13.00000000,13.27945205,0.48096979,0.06634534,0.41126022,0.05605101,0.01418257,0.23902125
441.31914894,475.39130435,1.00000000,0.97872340,13.00000000,13.26301370,0.60495562,0.07069439,0.35443946,0.05052892,0.01739157,0.24173812
427.21276596,436.73333333,1.00000000,0.95744681,13.00000000,14.23561644,0.64666841,0.02953739,0.38484549,0.04593201,0.89863607,0.36055678
618.68888889,658.41860465,0.95744681,0.93478261,13.00000000,13.57808219,0.29994497,0.04986926,0.48580323,0.01930312,0.03483690,0.38033911
519.17021277,522.45652174,1.00000000,0.97872340,13.00000000,13.59178082,0.45342680,0.07191200,0.36760999,0.05618671,0.01037045,0.43670690
538.84782609,583.95238095,0.95833333,0.89361702,13.00000000,13.78630137,0.24222333,0.05307685,0.36910220,0.01286290,0.12332497,0.61214335
495.91111111,534.39473684,0.93750000,0.79166667,13.00000000,13.81095890,0.32185147,0.04553400,0.40345979,0.03819597,0.01193825,0.62767819
526.52173913,536.44680851,1.00000000,1.00000000,13.00000000,13.84109589,0.49391750,0.07019544,0.39750383,0.03504527,0.02595314,0.32627809
439.12500000,467.62222222,1.00000000,0.93750000,13.00000000,13.50136986,0.69618774,0.04227798,0.40461271,0.03197662,0.01454641,0.43130742
526.15909091,541.93023256,0.91666667,0.91489362,13.00000000,14.20821918,0.48650126,0.02256879,0.48890165,0.00400767,0.91091719,0.53968525
420.02127660,486.05263158,0.97916667,0.80851064,13.00000000,13.77534247,0.42171754,0.04000683,0.37711800,0.02906785,0.02697494,0.57798119
455.00000000,536.45238095,0.95555556,0.89361702,13.00000000,13.57808219,0.28864153,0.04598648,0.35838316,0.01868888,0.29481981,0.56317371
504.85416667,542.20833333,1.00000000,1.00000000,13.00000000,13.93150685,0.58453289,0.16608279,0.23558101,0.01349917,0.15875757,0.42751963
482.70212766,483.24444444,1.00000000,0.93750000,13.00000000,13.41643836,0.58501950,0.05083477,0.40455656,0.04604782,0.00806724,0.47211238
467.97872340,534.45652174,1.00000000,0.95833333,13.00000000,13.84383562,0.50367185,0.04899452,0.39806143,0.02265143,0.09082628,0.63127944
441.56521739,489.43902439,0.97872340,0.89130435,13.00000000,14.03013699,0.28867622,0.04756883,0.31709114,0.01258647,0.19913233,0.46020928
549.58333333,601.06818182,1.00000000,0.93617021,13.00000000,14.16986301,0.40856116,0.04721304,0.46081015,0.01840568,0.11315097,0.54211271
659.89130435,746.50000000,0.97872340,0.79166667,13.00000000,13.76712329,0.20060601,0.05634330,0.47192975,0.02291652,0.33765378,0.72129990
560.54166667,617.26666667,1.00000000,0.97826087,13.00000000,13.35616438,0.86749631,0.10150632,0.51019953,0.09395966,0.01678770,0.40933075
433.89583333,465.20000000,1.00000000,0.97826087,12.00000000,12.24931507,0.53342790,0.04738785,0.36267214,0.01626611,0.04247387,0.66741622
510.21739130,606.57777778,1.00000000,0.97826087,12.00000000,12.92328767,0.44356022,0.06373888,0.41518278,0.02473949,0.10171315,0.52609332
547.95833333,558.60000000,1.00000000,0.95744681,12.00000000,12.58904110,0.52737092,0.05482503,0.45839530,0.04315491,0.01160091,0.32327187
725.70212766,921.10869565,1.00000000,0.95833333,12.00000000,12.68767123,0.22659091,0.09108389,0.42154277,0.03369795,0.96643657,0.29240201
484.64583333,584.76086957,1.00000000,0.95833333,12.00000000,12.35890411,0.37857355,0.06108620,0.38039895,0.02325912,0.12263071,0.25949609
578.42553191,659.15555556,1.00000000,0.95744681,12.00000000,13.10958904,0.33418156,0.06343650,0.41944218,0.02031715,0.30577252,0.76767056
443.77083333,470.62500000,1.00000000,1.00000000,12.00000000,12.93150685,0.80541994,0.04400127,0.40142701,0.04415241,0.59786148,0.30647098
559.46808511,608.82608696,1.00000000,0.95833333,12.00000000,12.57534247,0.87760875,0.14442871,0.46829814,0.15006889,0.01200531,0.49446895
562.80434783,640.89130435,1.00000000,0.97872340,12.00000000,13.05205479,0.34183336,0.06650059,0.40190912,0.02957662,0.94749981,0.01078605
487.38297872,576.93478261,1.00000000,0.95833333,12.00000000,13.00273973,0.37232242,0.05642931,0.37140441,0.05191634,0.95742218,0.50754057
568.54347826,588.10869565,0.97872340,0.97872340,12.00000000,13.14520548,0.31093815,0.05989672,0.39277134,0.00268467,0.71450049,0.68889675
614.46808511,694.46666667,1.00000000,0.95744681,12.00000000,12.33698630,0.38186831,0.07367352,0.47466557,0.04732933,0.02731712,0.31869761
551.72916667,615.36956522,1.00000000,0.97872340,12.00000000,13.09589041,0.46363090,0.08061999,0.42572001,0.05368665,0.02728901,0.50575506
420.95833333,487.35714286,1.00000000,0.89361702,12.00000000,13.06575342,0.46720851,0.04158057,0.36938203,0.02310176,0.06280069,0.45697475
475.06250000,582.90909091,1.00000000,0.95652174,12.00000000,13.20000000,0.38459636,0.06536068,0.36253673,0.02575583,0.13652053,0.07314574
716.80851064,725.13333333,1.00000000,0.95744681,12.00000000,12.52054795,0.29856292,0.06473990,0.50576086,0.01154976,0.93757444,0.42392753
532.91489362,546.81818182,1.00000000,0.93617021,12.00000000,13.21095890,0.71043491,0.09029743,0.43889673,0.09684469,0.00811995,0.57089350
554.32608696,592.81818182,0.95833333,0.93617021,12.00000000,12.35890411,0.30305300,0.04620857,0.43786949,0.02373513,0.96551875,0.29898125
760.17391304,731.02564103,1.00000000,0.86666667,12.00000000,12.34246575,0.23756070,0.08723498,0.42448104,0.07678947,0.01687811,0.84519044
455.45238095,488.13953488,0.87500000,0.89583333,12.00000000,13.03013699,0.24358942,0.04010201,0.33541659,0.00642982,0.72236766,0.45865005
786.41304348,853.36956522,1.00000000,0.97872340,12.00000000,12.91232877,0.25456121,0.09408001,0.45490665,0.01159425,0.80382122,0.45614517
543.40425532,557.67391304,1.00000000,0.97872340,12.00000000,12.79726027,0.52806891,0.04241366,0.46140414,0.02100142,0.98393091,0.34412561
460.80851064,503.13333333,0.97916667,0.93750000,12.00000000,12.88493151,0.38180803,0.04308782,0.37007564,0.01155662,0.10442822,0.42194322
655.76744186,704.34146341,0.93478261,0.85416667,12.00000000,12.46301370,0.15794634,0.06603650,0.36017599,0.01742580,0.04837227,0.64678501
510.10638298,503.04347826,1.00000000,0.97872340,12.00000000,12.46849315,0.50037216,0.04410273,0.42180272,0.00036427,0.23317232,0.42325144
590.61702128,639.00000000,1.00000000,0.97872340,12.00000000,12.42465753,0.35974895,0.06777053,0.42810778,0.01178302,0.16645997,0.07318959
588.17391304,790.10000000,0.97872340,0.85106383,12.00000000,13.18630137,0.20375990,0.06876358,0.38295830,0.04967377,0.96158737,0.76191792
516.15217391,576.04545455,0.97872340,0.93617021,12.00000000,12.96438356,0.44665660,0.04725914,0.44554697,0.02669417,0.05348180,0.61233270
553.76595745,576.73913043,1.00000000,0.97872340,12.00000000,12.78082192,0.52906563,0.04623567,0.47744358,0.00685314,0.05291330,0.43175157
691.80851064,709.28260870,1.00000000,0.97872340,12.00000000,12.46301370,0.28253679,0.07376035,0.42840276,0.00409868,0.60832269,0.14800551
541.97872340,632.09756098,1.00000000,0.89130435,12.00000000,12.29863014,0.31877986,0.05122997,0.43006717,0.05271816,0.98915175,0.62806941
561.04347826,602.02173913,0.97872340,0.95833333,12.00000000,12.71232877,0.39950793,0.04407795,0.47756060,0.01104599,0.07426241,0.40139194
530.47916667,614.97826087,1.00000000,0.97872340,12.00000000,12.63287671,0.32607819,0.07316669,0.33768946,0.02800567,0.92807918,0.77113224
674.46808511,696.26666667,1.00000000,0.97826087,12.00000000,12.29863014,0.30711514,0.07708808,0.43216165,0.03912645,0.02433802,0.28901496
