meanRT_comp,meanRT_incomp,acc_comp,acc_incomp,Age_group,Age_real,v,a,ter,max_ampl,tau,ster
0.88763043,1.01876744,1.00000000,0.91489362,5.00000000,5.85479452,0.29402759,0.08836114,0.69662212,0.06476480,0.04202187,0.06409802
0.94243478,0.94528571,0.95833333,0.91304348,5.00000000,5.31232877,0.17050879,0.09242629,0.49666982,0.05971713,0.03969304,0.02763143
0.72395455,0.83660465,0.93617021,0.89583333,5.00000000,5.67671233,0.17608475,0.06830617,0.47286573,0.01641118,0.14937446,0.02563408
0.82188636,0.87310811,0.95652174,0.80434783,5.00000000,5.99726027,0.25625499,0.05833816,0.67456753,0.04981050,0.01471788,0.02049193
0.87457778,0.85400000,0.95744681,1.00000000,5.00000000,5.44383562,0.21519035,0.08846813,0.47717401,0.04080445,0.01176962,0.00395978
0.71704255,0.75134783,1.00000000,0.97872340,5.00000000,5.90684932,0.30371058,0.07663662,0.47945347,0.01228401,0.94654883,0.05159495
0.88847826,1.02480435,1.00000000,0.97872340,5.00000000,5.38630137,0.34417889,0.07696823,0.70395965,0.05554158,0.97907881,0.04696465
0.96922917,1.08639130,1.00000000,0.97872340,5.00000000,6.05205479,0.27018010,0.09186528,0.69695690,0.03564413,0.07502555,0.06183112
1.53210526,1.42806522,0.82608696,0.97872340,5.00000000,5.40273973,0.11097731,0.10047686,0.77087912,0.03420883,0.00383839,0.08800134
0.65636957,0.70997778,0.97872340,0.93750000,5.00000000,6.13150685,0.36064499,0.05282830,0.55892078,0.02836862,0.03131621,0.01743604
1.03034783,1.12360465,1.00000000,0.91489362,5.00000000,5.51780822,0.21497661,0.10726639,0.63931668,0.08624348,0.02919818,0.03454425
1.09348837,1.45650000,0.91489362,0.93617021,5.00000000,5.63287671,0.11166416,0.10967513,0.43471853,0.01503156,0.50934194,0.00167894
0.85220833,0.98362791,1.00000000,0.93478261,5.00000000,5.56986301,0.25085406,0.08765712,0.59611334,0.04636739,0.09175279,0.06087739
0.92953191,1.09028261,1.00000000,0.97872340,5.00000000,5.52602740,0.24704041,0.09583756,0.60174214,0.01853292,0.36650049,0.01019715
0.91435556,1.11527907,0.97826087,0.91489362,5.00000000,5.90684932,0.16165702,0.08878752,0.50466051,0.02811517,0.68110922,0.00477934
1.23176087,1.35641304,1.00000000,0.97872340,5.00000000,5.70136986,0.21597382,0.14624437,0.67202256,0.08473706,0.09049690,0.08699654
1.06504444,1.22638636,0.97826087,0.93617021,5.00000000,6.13424658,0.14627157,0.10772732,0.45559056,0.02058466,0.96469967,0.03520277
1.07128889,0.98079070,0.97826087,0.91489362,5.00000000,5.40821918,0.17047149,0.08215388,0.55488511,0.00928063,0.13461496,0.00267007
0.80134783,0.91621739,0.95833333,0.97872340,5.00000000,5.97808219,0.21055698,0.08697503,0.48842473,0.03995394,0.04473623,0.04944614
0.94943182,0.96664444,0.93617021,0.97826087,5.00000000,5.32602740,0.18246999,0.08654784,0.52920092,0.02986969,0.07637673,0.06415133
0.83428889,1.01093023,0.97826087,0.89583333,5.00000000,5.46849315,0.22929511,0.08811185,0.57847348,0.05847858,0.05839031,0.05025730
0.91646809,0.91838095,1.00000000,0.95454545,5.00000000,5.55068493,0.20066106,0.09664371,0.45115988,0.01080077,0.20422221,0.00480599
0.66666667,0.77156098,0.95744681,0.87234043,5.00000000,5.92054795,0.29056333,0.05096469,0.58066138,0.02722173,0.04497686,0.03196072
0.85443182,0.83806383,0.93617021,0.97916667,5.00000000,5.99178082,0.27064252,0.05590052,0.64952129,0.00796526,0.05300560,0.02808505
2.38293333,1.81095745,0.95744681,0.97916667,5.00000000,5.60000000,0.10375787,0.14978211,0.67634288,0.15450541,0.00929861,0.13982779
1.17772917,1.20402083,1.00000000,1.00000000,5.00000000,5.63561644,0.18791313,0.15125567,0.38004357,0.00303924,0.70706255,0.00575782
1.55253488,1.62967442,0.95555556,0.93478261,5.00000000,5.96164384,0.10127740,0.13734445,0.37046972,0.01700594,0.16891891,0.00449688
0.89908333,0.88917500,1.00000000,0.83333333,5.00000000,6.03561644,0.32799042,0.08475914,0.68960703,0.08961179,0.00887091,0.04924809
0.86772340,1.07872093,1.00000000,0.91489362,6.00000000,6.95068493,0.15671828,0.10030869,0.38396787,0.02525441,0.39125894,0.00418295
0.59995652,0.68006977,0.97872340,0.91489362,6.00000000,6.90684932,0.37436225,0.07519739,0.48427872,0.05466334,0.03863396,0.02856055
0.95156522,0.87841304,1.00000000,1.00000000,6.00000000,6.41917808,0.23800193,0.12281717,0.34445244,0.00164226,0.11587595,0.00905591
0.94175000,1.00861702,1.00000000,0.97916667,6.00000000,6.90136986,0.21003033,0.10911508,0.46279478,0.01134898,0.32826932,0.03403899
0.83508333,0.81283721,1.00000000,0.91489362,6.00000000,6.57534247,0.37457081,0.09921776,0.58972793,0.10013953,0.00974396,0.08996787
